NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL
Megalux Lighting Ltd,Megalux Lighting Ltd,Chinese Mainland,"Indoor Lighting, Wall Lamp","Indoor Lighting, Wall Lamp",,Exhibitor,Hong Kong International Lighting Fair 2025,3E-E08,Commercial Lighting,Cantonese Business Go Global,1,,,"Indoor Lighting, Wall Lamp; Wall Lamp; Recessed Downlight ;Surface Light; Pendant light; Spot Light; ODM, OEM","Indoor Lighting, Wall Lamp; Wall Lamp; Recessed Downlight ;Surface Light; Pendant light; Spot Light; ODM, OEM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005PWQY
Luen Yick Electrical Mfg Co Limited,Luen Yick Electrical Mfg Co Limited,Hong Kong,"Luen Yick is a manufacturer in Hong Kong since 1968, with over 55 years' experience in electrical and lighting industry. We produce full range of Kengo branded BS standard wiring accessories, desktop power units, as well as lighting products designed for kitchen, bathroom and bedroom. From products design, tooling to manufacturing are all done in house as a one stop solution to our clients from UK, Europe, Australia, North America and domestic markets. Innovation and technology advanced products with environmentally friendly production process led Kengo to win many awards and recognition from local and aboard with sound reputation. Contact us or visit our website for more details of our products.","Luen Yick is a manufacturer in Hong Kong since 1968, with over 55 years' experience in electrical and lighting industry. We produce full range of Kengo branded BS standard wiring accessories, desktop power units, as well as lighting products designed for kitchen, bathroom and bedroom. From products design, tooling to manufacturing are all done in house as a one stop solution to our clients from UK, Europe, Australia, North America and domestic markets. Innovation and technology advanced products with environmentally friendly production process led Kengo to win many awards and recognition from local and aboard with sound reputation. Contact us or visit our website for more details of our products.",,Exhibitor,Hong Kong International Lighting Fair 2025,1D-A02,Hall of Aurora,,1,,,"Light Switch, Lighting Fixture, Office Lighting, Indoor Lighting, Downlight, Desk & Reading Lamp, Kitchen Lighting, Ceiling Light, Strip Light, LED Lighting; Furniture & Cabinet Lighting, Fluorescent & LED Fitting, Bathroom & Mirror Light, Downlight, Power Station, Wiring Accessories.; ODM","Light Switch, Lighting Fixture, Office Lighting, Indoor Lighting, Downlight, Desk & Reading Lamp, Kitchen Lighting, Ceiling Light, Strip Light, LED Lighting; Furniture & Cabinet Lighting, Fluorescent & LED Fitting, Bathroom & Mirror Light, Downlight, Power Station, Wiring Accessories.; ODM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005O30X
"Zhongshan Guzhen Yongjunli Lighting & Electronic Equipment Co., Ltd.","Zhongshan Guzhen Yongjunli Lighting & Electronic Equipment Co., Ltd.",Chinese Mainland,"Founded in 1989, located in the famous capital of lighting city - Guzhen Town, Zhongshan City. Insist on good faith, Quality and Innovation as our corporate philosophy. Today, Yongjunli Lighting Decoration Co., Ltd comes to one of the outstanding lighting manufacturers in China. With outstanding reputation, we have exported and cooperate with Lamp Company all over the world since 1990 especially USA, Europe, and Australia. It's our honor to make lights better and serve for you better, welcome to visit our factory!","Founded in 1989, located in the famous capital of lighting city - Guzhen Town, Zhongshan City. Insist on good faith, Quality and Innovation as our corporate philosophy. Today, Yongjunli Lighting Decoration Co., Ltd comes to one of the outstanding lighting manufacturers in China. With outstanding reputation, we have exported and cooperate with Lamp Company all over the world since 1990 especially USA, Europe, and Australia. It's our honor to make lights better and serve for you better, welcome to visit our factory!",,Exhibitor,Hong Kong International Lighting Fair 2025,3B-C02,Residential Lighting,Cantonese Business Go Global,1,,,"Ceiling Light, Wall Lamp, LED Lighting, Contemporary Light, Tiffany Lamp, Indoor Lighting, Table Lamp, Smart Living, Floor Lamp, Chandelier; LED lamps, crystal lamps, glass lamps, pendant lamp, ceiling lamps, wall lamps, table lamps, floor lamps. modern lamp, export to all over the world.; ODM, OEM","Ceiling Light, Wall Lamp, LED Lighting, Contemporary Light, Tiffany Lamp, Indoor Lighting, Table Lamp, Smart Living, Floor Lamp, Chandelier; LED lamps, crystal lamps, glass lamps, pendant lamp, ceiling lamps, wall lamps, table lamps, floor lamps. modern lamp, export to all over the world.; ODM, OEM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005Q3VC
"Zhongshan Pinghao Lighting Technology Co., Ltd.","Zhongshan Pinghao Lighting Technology Co., Ltd.",Chinese Mainland,"Zhongshan Pinghao Lighting Technology Co.,Ltd was established in 1995, specializing in R&D, production and sales of LED office lights as well as offering personalized design or solutions of production since 2005. The product positioning mainly focuses on the middle and high end, the application range: office, supermarket, school, hotel, etc. Have big market share in China and foreign country (Europe, south-east Asia, north America etc.) Our company covers 10,000 square meters with fashionable office area, professional R&D team, automatic production line and checkout equipment which can make the production reach up to 500000 pcs every year. Besides that, we also have through certificates such as CCC, CE, RoHS, SAA and patents for many products in 2017, so we have the ability to manufacture premium and creative products. We have been adhering to the philosophy of ""concentration, integrity, win-win"" to become the top of Chinese lighting field, to make the well-known brand of the world!","Zhongshan Pinghao Lighting Technology Co.,Ltd was established in 1995, specializing in R&D, production and sales of LED office lights as well as offering personalized design or solutions of production since 2005. The product positioning mainly focuses on the middle and high end, the application range: office, supermarket, school, hotel, etc. Have big market share in China and foreign country (Europe, south-east Asia, north America etc.) Our company covers 10,000 square meters with fashionable office area, professional R&D team, automatic production line and checkout equipment which can make the production reach up to 500000 pcs every year. Besides that, we also have through certificates such as CCC, CE, RoHS, SAA and patents for many products in 2017, so we have the ability to manufacture premium and creative products. We have been adhering to the philosophy of ""concentration, integrity, win-win"" to become the top of Chinese lighting field, to make the well-known brand of the world!",,Exhibitor,Hong Kong International Lighting Fair 2025,3C-G18,Commercial Lighting,Cantonese Business Go Global,1,,,"Indoor Lighting, Office Lighting; Led Linear Light, led Floor Lamp, suspension Led Linear Light, recessed Led Linear Light, suspension Led Light, honeycomb Led Linear Light; ODM, OEM","Indoor Lighting, Office Lighting; Led Linear Light, led Floor Lamp, suspension Led Linear Light, recessed Led Linear Light, suspension Led Light, honeycomb Led Linear Light; ODM, OEM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005PXC3
Mean Well (Hong Kong) Holding Limited,Mean Well (Hong Kong) Holding Limited,Hong Kong,"MEAN WELL, founded in 1982, is one of the few manufacturers worldwide dedicated to standard power supply products. According to a report by Micro Technology released in March 2024, MEAN WELL is ranked 4th among global manufacturers of power supplies (DC output). The top three companies in this sector mainly generate their revenue through ODM/OEM, whereas MEAN WELL derives 99% of its revenue from standard power supplies, following a business strategy centered around its own brand, MEAN WELL. MEAN WELL has embraced the spirit of ""Have good intentions"" and the belief in being a ""Reliable Partner"". We have continuously maintained long-term collaborative relationships with customers, suppliers, contractors, and employees. Through strong partnerships with the 260+ of authorized distributors worldwide, MEAN WELL has achieved stable growth and expansion for over four decades. By 2024, it combined revenue exceeding $1.022 billion. The global headquarters is located in the New Taipei Industrial Park in Taiwan, and has expanded branches and offices in cities including Guangzhou, Shenzhen, and Suzhou in China, California, Missouri, and New Jersey in the USA, as well as in Europe (Netherlands), India, Singapore, Hong Kong, Malaysia, and Turkey, with approximately 2,500 staff worldwide.","MEAN WELL, founded in 1982, is one of the few manufacturers worldwide dedicated to standard power supply products. According to a report by Micro Technology released in March 2024, MEAN WELL is ranked 4th among global manufacturers of power supplies (DC output). The top three companies in this sector mainly generate their revenue through ODM/OEM, whereas MEAN WELL derives 99% of its revenue from standard power supplies, following a business strategy centered around its own brand, MEAN WELL. MEAN WELL has embraced the spirit of ""Have good intentions"" and the belief in being a ""Reliable Partner"". We have continuously maintained long-term collaborative relationships with customers, suppliers, contractors, and employees. Through strong partnerships with the 260+ of authorized distributors worldwide, MEAN WELL has achieved stable growth and expansion for over four decades. By 2024, it combined revenue exceeding $1.022 billion. The global headquarters is located in the New Taipei Industrial Park in Taiwan, and has expanded branches and offices in cities including Guangzhou, Shenzhen, and Suzhou in China, California, Missouri, and New Jersey in the USA, as well as in Europe (Netherlands), India, Singapore, Hong Kong, Malaysia, and Turkey, with approximately 2,500 staff worldwide.",,Exhibitor,Hong Kong International Lighting Fair 2025,1D-A20,Hall of Aurora,,1,,,"LED Lighting, Indoor Lighting; LED Lighting Drivers / Switching Power Supplies / Dimmable Transformers; ODM","LED Lighting, Indoor Lighting; LED Lighting Drivers / Switching Power Supplies / Dimmable Transformers; ODM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005O5GJ
"Zhongshan D3space Lighting Co., Ltd.","Zhongshan D3space Lighting Co., Ltd.",Chinese Mainland,We are specialized in modern decorative lighting for more than 15 years.,We are specialized in modern decorative lighting for more than 15 years.,,Exhibitor,Hong Kong International Lighting Fair 2025,1B-B32,Hall of Aurora,Cantonese Business Go Global,1,,,"Table Lamp, Downlight, Chandelier, Floor Lamp, Wall Lamp; Pendant Lamp, Ceiling Lamp, Wall Lamp, Table Lamp and Floor Lamp; OEM","Table Lamp, Downlight, Chandelier, Floor Lamp, Wall Lamp; Pendant Lamp, Ceiling Lamp, Wall Lamp, Table Lamp and Floor Lamp; OEM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005PO9L
"Zhongshan Jumei Lighting Co., Ltd","Zhongshan Jumei Lighting Co., Ltd",Chinese Mainland,"Floor Lamp, Kitchen Lighting, Table Lamp, Chandelier, Desk & Reading Lamp, Tiffany Lamp","Floor Lamp, Kitchen Lighting, Table Lamp, Chandelier, Desk & Reading Lamp, Tiffany Lamp",,Exhibitor,Hong Kong International Lighting Fair 2025,3C-D24,Residential Lighting,Cantonese Business Go Global,1,,,"Floor Lamp, Kitchen Lighting, Table Lamp, Chandelier, Desk & Reading Lamp, Tiffany Lamp; Pendant Lights, Ceiling Lights, Table Lamp, Floor lights; OEM, ODM","Floor Lamp, Kitchen Lighting, Table Lamp, Chandelier, Desk & Reading Lamp, Tiffany Lamp; Pendant Lights, Ceiling Lights, Table Lamp, Floor lights; OEM, ODM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005PX5O
"Zhongshan Kadywell Lighting Co., Ltd.","Zhongshan Kadywell Lighting Co., Ltd.",Chinese Mainland,Kadywell is professional manufacturer for lighting. And the location is near the world lighting town Guzhen Town. We have more than 20years. experience for lights. Choose us can give you competitive for your market,Kadywell is professional manufacturer for lighting. And the location is near the world lighting town Guzhen Town. We have more than 20years. experience for lights. Choose us can give you competitive for your market,,Exhibitor,Hong Kong International Lighting Fair 2025,3C-D39,Residential Lighting,Cantonese Business Go Global,1,,,"Chandelier, Decorative Lamp, Floor Lamp, Contemporary Light, Table Lamp, LED Lighting; Indoor Lighting, include LED pendant lamp, LED table lamp, LED floor lamp, LED ceiling lamp and LED wall lamp.; Others, OEM","Chandelier, Decorative Lamp, Floor Lamp, Contemporary Light, Table Lamp, LED Lighting; Indoor Lighting, include LED pendant lamp, LED table lamp, LED floor lamp, LED ceiling lamp and LED wall lamp.; Others, OEM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005PX4R
"Zhongshan Kava Lighting Co., Ltd.","Zhongshan Kava Lighting Co., Ltd.",Chinese Mainland,"Kava Lighting Co.,Ltd is located in Henglan Town which is named as lighting capital if China, Zhongshan city, Guangdong province, China, professional manufacturer of specialized in designing, producing, Sdllin and: ODM""Home lighting Aden other related products. The main product crystal lamp, oden lamp, LED lamp accessories and craftworks etc.","Kava Lighting Co.,Ltd is located in Henglan Town which is named as lighting capital if China, Zhongshan city, Guangdong province, China, professional manufacturer of specialized in designing, producing, Sdllin and: ODM""Home lighting Aden other related products. The main product crystal lamp, oden lamp, LED lamp accessories and craftworks etc.",,Exhibitor,Hong Kong International Lighting Fair 2025,3B-C24,Residential Lighting,Cantonese Business Go Global,1,,,"Desk & Reading Lamp, Floor Lamp, Chandelier, Table Lamp; LED Lights, Crystal lights, celling lamps, table lamps, wall lamps,; ODM, OEM","Desk & Reading Lamp, Floor Lamp, Chandelier, Table Lamp; LED Lights, Crystal lights, celling lamps, table lamps, wall lamps,; ODM, OEM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005PX6L
"Zhongshan Marsden Lighting Electrical Appliance Co., Ltd.","Zhongshan Marsden Lighting Electrical Appliance Co., Ltd.",Chinese Mainland,"Zhongshan Marsden Lighting Electrical Appliance Co.,Ltd was founded in Shenzhen in 2001,and then built the production base in Zhongshan in 2004. During the past nine years, Marsden lighting has developed into a high-end brand lighting production and management company which connected design, production and sales together","Zhongshan Marsden Lighting Electrical Appliance Co.,Ltd was founded in Shenzhen in 2001,and then built the production base in Zhongshan in 2004. During the past nine years, Marsden lighting has developed into a high-end brand lighting production and management company which connected design, production and sales together",,Exhibitor,Hong Kong International Lighting Fair 2025,1A-B20,Hall of Aurora,Cantonese Business Go Global,1,,,"Chandelier, Decorative Lamp, Desk & Reading Lamp, Floor Lamp, Table Lamp; modern decorative lighting, residential chandelier, pendant lamp, table lamp, floor lamp.; OEM","Chandelier, Decorative Lamp, Desk & Reading Lamp, Floor Lamp, Table Lamp; modern decorative lighting, residential chandelier, pendant lamp, table lamp, floor lamp.; OEM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005PNZG
"Shanghai Wellmax Lighting Industry Co.,Ltd.","Shanghai Wellmax Lighting Industry Co.,Ltd.",Chinese Mainland,LED BULB EXPERT,LED BULB EXPERT,,Exhibitor,Hong Kong International Lighting Fair 2025,1B-E02,Hall of Aurora,,1,,,"Office Lighting, LED Bulb, LED Lighting, LED Tube, PAR Bulb, Indoor Lighting, LED Panel Light; Wellmax Lighting is a leading lighting company that focuses on the innovation and manufacture of LED bulbs. We were founded in 1987, and now a top exporter of LED bulbs in Shanghai.; ODM, OEM","Office Lighting, LED Bulb, LED Lighting, LED Tube, PAR Bulb, Indoor Lighting, LED Panel Light; Wellmax Lighting is a leading lighting company that focuses on the innovation and manufacture of LED bulbs. We were founded in 1987, and now a top exporter of LED bulbs in Shanghai.; ODM, OEM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005PNS1
