NAME_EN,NAME_KR,DESCRIPTION_EN,DESCRIPTION_KR,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_EN,INDUSTRY_NAME_KR
Pumpkin & Superfoods Daily Boost,Pumpkin & Superfoods Daily Boost,"5-ingredient blend for digestion, nutrient absorption + immunity. Sprinkle or mix with water. No fillers—just pumpkin-powered wellness in every scoop.","5-ingredient blend for digestion, nutrient absorption + immunity. Sprinkle or mix with water. No fillers—just pumpkin-powered wellness in every scoop.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/922/900e8c7393a5131e15a38787700a904d-original-boost-mock-pumpkin.png,Bundle x Joy,New Product Showcase - Dog,New Product Showcase - Dog
Probiotic & Prebiotic Daily Boost,Probiotic & Prebiotic Daily Boost,"Daily gut support with pre & probiotics to aid digestion, immunity + sensitive stomachs. Bone Broth powder you can sprinkle or stir in water. Gentle, effective, and made for everyday wellness.","Daily gut support with pre & probiotics to aid digestion, immunity + sensitive stomachs. Bone Broth powder you can sprinkle or stir in water. Gentle, effective, and made for everyday wellness.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/919/7d4ef7dc91ab9d6c928e6dc32baaef45-original-boost-mock-probiotic-1.png,Bundle x Joy,New Product Showcase - Dog,New Product Showcase - Dog
Bone Broth & Colostrum Daily Boost,Bone Broth & Colostrum Daily Boost,"A 6-ingredient superfood blend that supports hydration, immunity, joints + vitality. Sprinkle on food or mix with water. No fluff—just real, functional goodness in every scoop.

Unleash a Happier Gut!","A 6-ingredient superfood blend that supports hydration, immunity, joints + vitality. Sprinkle on food or mix with water. No fluff—just real, functional goodness in every scoop.

Unleash a Happier Gut!",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/914/5a563d8719b034e5e5dbf51799ddd3d0-original-boost-mock-colostrum.png,Bundle x Joy,New Product Showcase - Dog,New Product Showcase - Dog
"Cambodian Paw Shield Co.,Ltd","Cambodian Paw Shield Co.,Ltd","Cambodian Paw Shield Co.,Ltd is a professional manufacturer and exporter of pet collars, leashes, harnesses. We specialize in using genuine leather, PU, PVC, PP and nylon to create custom designs. Established in 20 22 , we began exporting our products to North America,  East Asia, and Australi a.","Cambodian Paw Shield Co.,Ltd is a professional manufacturer and exporter of pet collars, leashes, harnesses. We specialize in using genuine leather, PU, PVC, PP and nylon to create custom designs. Established in 20 22 , we began exporting our products to North America,  East Asia, and Australi a.",,"Cambodian Paw Shield Co.,Ltd","Cat Products, Dog Products, Training Products","Cat Products, Dog Products, Training Products"
Canine Caviar's Functional Supplement Powders,Canine Caviar's Functional Supplement Powders,"Canine Caviar’s 10 functional supplement powders are made to support your dog’s daily routine. Each formula focuses on a specific area—like joints, digestion, immunity, skin, or calm—making it easy to personalize your dog’s wellness with simple, limited ingredients. These easy-to-use powders fit seamlessly into any life stage or routine, helping you support your dog’s holistic lifestyle every day. Functional Supplement Powders: Calming Immune Skin & Coat Puppy Senior Raw Wellness Dental Gut Joint","Canine Caviar’s 10 functional supplement powders are made to support your dog’s daily routine. Each formula focuses on a specific area—like joints, digestion, immunity, skin, or calm—making it easy to personalize your dog’s wellness with simple, limited ingredients. These easy-to-use powders fit seamlessly into any life stage or routine, helping you support your dog’s holistic lifestyle every day. Functional Supplement Powders: Calming Immune Skin & Coat Puppy Senior Raw Wellness Dental Gut Joint",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/1117/2ee64c4b871d46ac01c08c0c52397f6b-original-supplemet-1.png,Canine Caviar Alkaline Pet Food,"Cat Food & Treats, Cat Products, Dog Food & Treats, Dog Products, Natural Food & Treats, Natural Products, New Product Launch","Cat Food & Treats, Cat Products, Dog Food & Treats, Dog Products, Natural Food & Treats, Natural Products, New Product Launch"
Small Breed Limited Ingredient Alkaline® Entrée,Small Breed Limited Ingredient Alkaline® Entrée,"A nutrient-dense diet, perfect for small and medium breed puppies, as well as pregnant and nursing dogs. Small Breed Entrée Alkalizing® is carefully balanced with all the vitamins and minerals needed for proper growth.","A nutrient-dense diet, perfect for small and medium breed puppies, as well as pregnant and nursing dogs. Small Breed Entrée Alkalizing® is carefully balanced with all the vitamins and minerals needed for proper growth.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/108/aae3eade1d206e944d0b267633dd5d48-original-sb.png,Canine Caviar Alkaline Pet Food,New Product Showcase - Dog,New Product Showcase - Dog
Special Needs Trout Limited Ingredient Alkaline® Entrée,Special Needs Trout Limited Ingredient Alkaline® Entrée,"A balanced diet formulated to meet the requirements of senior or overweight dogs
Provides the necessary nutrition to keep your pet healthy and is ideal for dogs with sensitive digestive tracts","A balanced diet formulated to meet the requirements of senior or overweight dogs
Provides the necessary nutrition to keep your pet healthy and is ideal for dogs with sensitive digestive tracts",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/107/c23691f6451e5239c9ce3acad06236a0-original-snt-1.png,Canine Caviar Alkaline Pet Food,New Product Showcase - Dog,New Product Showcase - Dog
CANINE GUT HEALTH (2oz Bag/72g),CANINE GUT HEALTH (2oz Bag/72g),"Promote your dog's digestive wellness with our Canine Gut Health, a powerful blend of natural ingredients designed to support a healthy gut and overall vitality. Each scoop is packed with beneficial herbs and nutrients that work synergistically to enhance digestion and boost immune function. Ingredients: Slippery elm, Licorice root, Turmeric, Dandelion root, Echinacea, Skullcap, Reishi, Lions mane, Turkey tail, Cordyceps, Pumpkin, Flavonoids.","Promote your dog's digestive wellness with our Canine Gut Health, a powerful blend of natural ingredients designed to support a healthy gut and overall vitality. Each scoop is packed with beneficial herbs and nutrients that work synergistically to enhance digestion and boost immune function. Ingredients: Slippery elm, Licorice root, Turmeric, Dandelion root, Echinacea, Skullcap, Reishi, Lions mane, Turkey tail, Cordyceps, Pumpkin, Flavonoids.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/1114/a5d759387afaeb3dbf887d73aec56584-original-screenshot_8-7-2025_16441_caninehealthsolutions.com.jpeg,Canine Health Solutions,"Charitable Initiatives, Made in America, Cat Products, Dog Food & Treats, Dog Products, Equine Feed & Tack, Equine Products, Natural Products, Small Animal Products","Charitable Initiatives, Made in America, Cat Products, Dog Food & Treats, Dog Products, Equine Feed & Tack, Equine Products, Natural Products, Small Animal Products"
PRODUCT CATALOG,PRODUCT CATALOG,View link to view all of our products we offer!,View link to view all of our products we offer!,https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/76/292f7ee1358ea31ff78908919f6b12a7-original-screenshot_8-7-2025_16142_qr1.be.jpeg,Canine Health Solutions,"Charitable Initiatives, Made in America, Cat Products, Dog Food & Treats, Dog Products, Equine Feed & Tack, Equine Products, Natural Products, Small Animal Products","Charitable Initiatives, Made in America, Cat Products, Dog Food & Treats, Dog Products, Equine Feed & Tack, Equine Products, Natural Products, Small Animal Products"
Canine Joint Chews,Canine Joint Chews,"Support your dog's mobility and joint health with our Canine Joint Chews! Veterinarian formulated, with our blend of natural ingredients, these chews are designed to promote healthy joints and enhance their overall wellness!","Support your dog's mobility and joint health with our Canine Joint Chews! Veterinarian formulated, with our blend of natural ingredients, these chews are designed to promote healthy joints and enhance their overall wellness!",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/469/f60fc271963fdc17d6d019f1e58c401b-original-untitleddesign_13.png,Canine Health Solutions,New Product Showcase - Dog,New Product Showcase - Dog
Fisher's Koi Diet+,Fisher's Koi Diet+,"Fisher’s Koi Diet+ is a nutritionally complete formula designed to stand out from the rest by using sustainable US-sourced high quality ingredients, high levels of Omega-3 Fatty Acids and Vitamin C and Beta Glucan for strong immune system support.","Fisher’s Koi Diet+ is a nutritionally complete formula designed to stand out from the rest by using sustainable US-sourced high quality ingredients, high levels of Omega-3 Fatty Acids and Vitamin C and Beta Glucan for strong immune system support.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/1007/1753518a47c67dc9774642fe134337b6-original-koi-diet+-display-v4-mikes-edit-copy.jpg,Carolina Aquatics,New Product Showcase - Aquatic,New Product Showcase - Aquatic
CPC Show Specials,CPC Show Specials,"$500+-----5% off $1000+----10% off $1500+----15% off Valid through all channels including direct, Faire, Wholesale Pet and more. Dates for the special: July 21-August 17","$500+-----5% off $1000+----10% off $1500+----15% off Valid through all channels including direct, Faire, Wholesale Pet and more. Dates for the special: July 21-August 17",,Carolina Pet Company LLC,"Made in America, Cat Products, Dog Products, Gifts, New Product Launch","Made in America, Cat Products, Dog Products, Gifts, New Product Launch"
Pendleton Adventure Pet Coat by Carolina Pet Company,Pendleton Adventure Pet Coat by Carolina Pet Company,"This trail-ready pet coat comes in 3 Pendleton patterns with a 5,000mm waterproof exterior, an adjustable fit, fleece lining, reflective trim, and a cozy cowl neck. A refined fusion of function and style.","This trail-ready pet coat comes in 3 Pendleton patterns with a 5,000mm waterproof exterior, an adjustable fit, fleece lining, reflective trim, and a cozy cowl neck. A refined fusion of function and style.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/637/5769b0796522d949033b7b3479313a9f-original-pendleton-adventure-pet-coat-by-carolina-pet-company.jpg,Carolina Pet Company LLC,New Product Showcase - Dog,New Product Showcase - Dog
Cat Dancer,Cat Dancer,We've let the cat out of the bag!  We've eliminated the plastic bag from the Cat Dancer toy and the blister from the Cat Dancer Deluxe. New packages for the Cat Dancer and Cat Dancer Deluxe feature 100% recyclable packaging.,We've let the cat out of the bag!  We've eliminated the plastic bag from the Cat Dancer toy and the blister from the Cat Dancer Deluxe. New packages for the Cat Dancer and Cat Dancer Deluxe feature 100% recyclable packaging.,https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/489/cf29d1b707b29ecf5462fab2fe028fe4-original-cat-dancer-superzoo-2x2-sign.png,Cat Dancer Products,New Product Showcase - Cat,New Product Showcase - Cat
Visit us at Booth #3332 to redeem Show Special,Visit us at Booth #3332 to redeem Show Special,"Visit our booth to check our our natural flea & tick repellent tags, and related accessories. 20% off on Retail Orders at the Booth 5% Additional Discount for New Reseller Accounts","Visit our booth to check our our natural flea & tick repellent tags, and related accessories. 20% off on Retail Orders at the Booth 5% Additional Discount for New Reseller Accounts",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/64/c3e94d4ee8ca9a746cc210da42e46521-original-fleasgonelogooriginalsizewithtextandblackbackground.jpg,CatanDog's Global dba Fleas Gone / Ticks Gone,"Cat Products, Dog Products, Natural Products","Cat Products, Dog Products, Natural Products"
FleasGone Natural Multi-Year Flea & Tick Repellent Tag,FleasGone Natural Multi-Year Flea & Tick Repellent Tag,FleasGone Tag uses the heart's electromagnetic field to create a protective shield around the pet's body that prevents fleas and ticks from seeking the pet.,FleasGone Tag uses the heart's electromagnetic field to create a protective shield around the pet's body that prevents fleas and ticks from seeking the pet.,https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/734/5bbe21793e8f3344d85f0692f406d9f4-original-fg-life-box.jpg,CatanDog's Global dba Fleas Gone / Ticks Gone,New Product Showcase - Dog,New Product Showcase - Dog
🔥 2025 Show Specials – Exclusive Deals 🔥,🔥 2025 Show Specials – Exclusive Deals 🔥,1️⃣ Best-Selling Classics–Bulk Discounts 2️⃣ New Product Launches 3️⃣ Private Label & OEM Deals 4️⃣ Bundle Deals- Starter Kits for New Retailers Limited availability !,1️⃣ Best-Selling Classics–Bulk Discounts 2️⃣ New Product Launches 3️⃣ Private Label & OEM Deals 4️⃣ Bundle Deals- Starter Kits for New Retailers Limited availability !,https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/40/80ffba594cf0703067d8fc7a0ab0213e-original-catwant-logo.jpg,CATWANT,"Cat Products, Natural Products","Cat Products, Natural Products"
20% OFF PLUS FREE PRODUCTS,20% OFF PLUS FREE PRODUCTS,20% OFF PLUS FREE PRODUCTS,20% OFF PLUS FREE PRODUCTS,https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/1415/0d0049e01b3259e47bfb0c5157d3f07b-original-screenshot-2025-08-01-124922.jpg,CBD Dog Health,"Charitable Initiatives, LGBTQ+ owned, Locally sourced, Made in America, Sustainably sourced, Women owned, Cat Products, CBD/Hemp Products, Day Care / Spa Products, Direct to Retail, Dog Food & Treats, Dog Products, Equine Products, Grooming Products, Natural Food & Treats, Natural Products, Small Animal Food & Treats, Small Animal Products, Exclusive show specials, New Product Launch","Charitable Initiatives, LGBTQ+ owned, Locally sourced, Made in America, Sustainably sourced, Women owned, Cat Products, CBD/Hemp Products, Day Care / Spa Products, Direct to Retail, Dog Food & Treats, Dog Products, Equine Products, Grooming Products, Natural Food & Treats, Natural Products, Small Animal Food & Treats, Small Animal Products, Exclusive show specials, New Product Launch"
"Cat Food & Treats, Cat Products, Dog Food & Treats, Dog Products","Cat Food & Treats, Cat Products, Dog Food & Treats, Dog Products","Cat Food & Treats, Cat Products, Dog Food & Treats, Dog Products","Cat Food & Treats, Cat Products, Dog Food & Treats, Dog Products",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/1410/63e7847de699d50f33a7725c81cdeb40-original-tbyt_rgb_noshad.jpg,"CCD Mpact, LLC.","Cat Food & Treats, Cat Products, Dog Food & Treats, Dog Products","Cat Food & Treats, Cat Products, Dog Food & Treats, Dog Products"
Barkworthies Hickory Smoked Bully + Collagen Chews,Barkworthies Hickory Smoked Bully + Collagen Chews,"Crafted for dogs who love variety, these chews combine the long-lasting satisfaction of bully sticks with the skin, coat, and joint benefits of collagen chews.","Crafted for dogs who love variety, these chews combine the long-lasting satisfaction of bully sticks with the skin, coat, and joint benefits of collagen chews.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/653/6107f62fa71e80506c927d5a4b7f7fea-original-assorted-bw-smoked-bully-+-collagen.jpeg,Central Garden & Pet,New Product Showcase - Dog,New Product Showcase - Dog
Nylabone Nubz Bursts,Nylabone Nubz Bursts,Turn up the Nubz excitement with Flavor Bursts in every chew treat!,Turn up the Nubz excitement with Flavor Bursts in every chew treat!,https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/652/a297b0241e0fe11d48e51f8aa17afb0c-original-nubz-bursts.jpeg,Central Garden & Pet,New Product Showcase - Dog,New Product Showcase - Dog
Nylabone Boop N Bobble Puzzle Toy,Nylabone Boop N Bobble Puzzle Toy,The FUN & BOBBLY Treat Game for the Brain!,The FUN & BOBBLY Treat Game for the Brain!,https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/651/3d8ea25799c0ab08781828b4dd400eca-original-boop-n-bobble.jpeg,Central Garden & Pet,New Product Showcase - Dog,New Product Showcase - Dog
Nylabone 70th Birthday Bones,Nylabone 70th Birthday Bones,Celebrate 70 years of Nylabone with our limited-edition birthday chew toys!,Celebrate 70 years of Nylabone with our limited-edition birthday chew toys!,https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/650/d8583521ca02ecb2ac8bab5e2724400d-original-nylabone-birthday-bones.jpeg,Central Garden & Pet,New Product Showcase - Dog,New Product Showcase - Dog
Cadet Chewalicious,Cadet Chewalicious,"MORE enticing textures, MORE delicious flavors, and still ALL rawhide-free!","MORE enticing textures, MORE delicious flavors, and still ALL rawhide-free!",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/649/6e807673e0357cd720fdb445b8769fd2-original-ims-chewalicious.jpeg,Central Garden & Pet,New Product Showcase - Dog,New Product Showcase - Dog
Wee-Wee Odor Control Cat Litter System Pads,Wee-Wee Odor Control Cat Litter System Pads,Take control of overpowering cat urine odors with Wee-Wee Cat Pads.,Take control of overpowering cat urine odors with Wee-Wee Cat Pads.,https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/646/32c1fc52b12d6c004b71ef56258d7212-original-four-paws-cat-pads.jpeg,Central Garden & Pet,New Product Showcase - Cat,New Product Showcase - Cat
Zilla Comfort Bedding,Zilla Comfort Bedding,"Zilla Reptile Comfort Bedding is the perfect blend of comfort, cleanliness, and natural enrichment for your reptile. Made from soft, white, chemical-free paper.","Zilla Reptile Comfort Bedding is the perfect blend of comfort, cleanliness, and natural enrichment for your reptile. Made from soft, white, chemical-free paper.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/645/90447e19f88d9388f7eff8ada1055e8f-original-096316003767_zl_reptile_comfort_bedding_24_6l_apr25_front.jpg,Central Garden & Pet,New Product Showcase - Herptile,New Product Showcase - Herptile
Introducing MarinePure FRESH.  Worlds best aquarium now packaged for freshwater applications and Reptile,Introducing MarinePure FRESH.  Worlds best aquarium now packaged for freshwater applications and Reptile,World's best aquarium biofilter media now packaged for freshwater applications and reptile/amphibian tanks.,World's best aquarium biofilter media now packaged for freshwater applications and reptile/amphibian tanks.,,CerMedia LLC,"Made in America, Aquatic / Pond Products, Reptile Products","Made in America, Aquatic / Pond Products, Reptile Products"
Happy Snack,Happy Snack,"Create a moment of calm by treating your cat to Happy Snack by FELIWAY®, a delicious, squeezable, lickable treat. Happy Snack is a tasty purée enjoyed by 86% of cats!","Create a moment of calm by treating your cat to Happy Snack by FELIWAY®, a delicious, squeezable, lickable treat. Happy Snack is a tasty purée enjoyed by 86% of cats!",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/691/28b01754f3bb4b8a82e02bace299d271-original-596a414b-5eed-4238-9413-15da87c67f4b.jpg,Ceva Animal Health/ThunderWorks,New Product Showcase - Cat,New Product Showcase - Cat
"Calm + Hip & Joint, Calm + Probiotic","Calm + Hip & Joint, Calm + Probiotic",ThunderBites™ Calm + Daily Soft Chews provide the convenience of 2-Products-in-1!,ThunderBites™ Calm + Daily Soft Chews provide the convenience of 2-Products-in-1!,https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/689/09a118c21050e29e93025b4de12458ce-original-530c2f33-de5d-44b3-982e-c855bc24361b.jpg,Ceva Animal Health/ThunderWorks,New Product Showcase - Dog,New Product Showcase - Dog
Douxo Spa,Douxo Spa,A complete range of ultra-safe skin & coat care products,A complete range of ultra-safe skin & coat care products,https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/688/1c080cca29641bd673c5e12f3b1e0409-original-a6fe883e-96ab-4690-9f26-60232cef5bab.jpg,Ceva Animal Health/ThunderWorks,New Product Showcase - Grooming,New Product Showcase - Grooming
Happy Snack,Happy Snack,"Create a moment of calm by treating your cat to Happy Snack by FELIWAY®, a delicious, squeezable, lickable treat. Happy Snack is a tasty purée enjoyed by 86% of cats!","Create a moment of calm by treating your cat to Happy Snack by FELIWAY®, a delicious, squeezable, lickable treat. Happy Snack is a tasty purée enjoyed by 86% of cats!",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/687/d1cad08a20be0438bf4d4454580fa63a-original-596a414b-5eed-4238-9413-15da87c67f4b.jpg,Ceva Animal Health/ThunderWorks,New Product Showcase - Cat,New Product Showcase - Cat
"Calm + Hip & Joint, Calm + Probiotic","Calm + Hip & Joint, Calm + Probiotic",ThunderBites™ Calm + Daily Soft Chews provide the convenience of 2-Products-in-1! A daily supplement promoting BOTH calmness from daily stressors plus a health supplement.,ThunderBites™ Calm + Daily Soft Chews provide the convenience of 2-Products-in-1! A daily supplement promoting BOTH calmness from daily stressors plus a health supplement.,https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/686/f43936ebd5512c94e32f90487679a709-original-530c2f33-de5d-44b3-982e-c855bc24361b.jpg,Ceva Animal Health/ThunderWorks,New Product Showcase - Dog,New Product Showcase - Dog
Douxo Spa,Douxo Spa,A complete range of ultra-safe skin & coat care products,A complete range of ultra-safe skin & coat care products,https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/685/485e0d71f5c4960c5d8f1f7786666adf-original-a6fe883e-96ab-4690-9f26-60232cef5bab.jpg,Ceva Animal Health/ThunderWorks,New Product Showcase - Grooming,New Product Showcase - Grooming
ORIJEN Wild Reserve Cat,ORIJEN Wild Reserve Cat,"ORIJEN™ WILD RESERVE makes every meal special by providing cats with nourishment and variety in one
convenient package.","ORIJEN™ WILD RESERVE makes every meal special by providing cats with nourishment and variety in one
convenient package.",,Champion Petfoods,New Product Showcase - Cat,New Product Showcase - Cat
CHARM Grass-Fed Lamb Dog Food,CHARM Grass-Fed Lamb Dog Food,"Crafted for nutrition and taste, our Grass-Fed Lamb recipe features premium fresh New Zealand lamb, seafood, Powergreens, and Protect10™ functional ingredients. Protein-rich and low-carb, ideal for all dogs.","Crafted for nutrition and taste, our Grass-Fed Lamb recipe features premium fresh New Zealand lamb, seafood, Powergreens, and Protect10™ functional ingredients. Protein-rich and low-carb, ideal for all dogs.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/288/5784804f8e6d476ce64f115aea81139e-original-5.4kg-usa-lamb-dog-left-side.png,CHARM Pet Food,New Product Showcase - Dog,New Product Showcase - Dog
CHARM North Atlantic Ocean Fish Cat Food,CHARM North Atlantic Ocean Fish Cat Food,"Crafted for fish lovers, our North Atlantic Ocean Fish recipe features fresh salmon, herring, mackerel, krill, nutrient-rich Powergreens, and our Protect10™ blend for a natural vitality boost. Perfectly balanced for health.","Crafted for fish lovers, our North Atlantic Ocean Fish recipe features fresh salmon, herring, mackerel, krill, nutrient-rich Powergreens, and our Protect10™ blend for a natural vitality boost. Perfectly balanced for health.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/287/32f85589efc0050665651e2d5cadf2dd-original-4-5kg-usa-fish-cat-left-side.png,CHARM Pet Food,New Product Showcase - Cat,New Product Showcase - Cat
ChefPaw Pet Food Maker,ChefPaw Pet Food Maker,"The ChefPaw Pet Food Maker is the first all-in-one countertop appliance that pairs with the ChefPaw App to make fresh, healthy dog food at home in just 40 minutes. Simply add raw meats, veggies, and grains while following step-by-step instructions from the ChefPaw App. With 35+ vet-reviewed recipes, full nutritional breakdowns, and custom meal plans based on your dog’s age, weight, and activity level, ChefPaw helps you take control of your dog’s health, diet, and happiness.","The ChefPaw Pet Food Maker is the first all-in-one countertop appliance that pairs with the ChefPaw App to make fresh, healthy dog food at home in just 40 minutes. Simply add raw meats, veggies, and grains while following step-by-step instructions from the ChefPaw App. With 35+ vet-reviewed recipes, full nutritional breakdowns, and custom meal plans based on your dog’s age, weight, and activity level, ChefPaw helps you take control of your dog’s health, diet, and happiness.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/189/dbc8ebe3825f84adcc25335042122ab6-original-cover_photo.png,ChefPaw,"Dog Food & Treats, Technology","Dog Food & Treats, Technology"
ChefPaw Pet Food Maker,ChefPaw Pet Food Maker,"ChefPaw chops, cooks, and blends fresh raw ingredients into 6.4 lbs of homemade dog food in 40 minutes. Use the ChefPaw App to pick a recipe and follow step-by-step instructions for tasty, balanced, and nutritious meals.","ChefPaw chops, cooks, and blends fresh raw ingredients into 6.4 lbs of homemade dog food in 40 minutes. Use the ChefPaw App to pick a recipe and follow step-by-step instructions for tasty, balanced, and nutritious meals.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/152/c41ac901d9cd6870e52c4e1385e9e676-original-cover_photo.jpg,ChefPaw,New Product Showcase - Dog,New Product Showcase - Dog
Chewmate Superzoo Show Specials,Chewmate Superzoo Show Specials,"Come by and get a minimum 10% off on all orders. Orders over $500 will get you not only 20% off but Free Shipping as well! As well, come by for a free sample of our wound care spray.  It is like having a first aid kit in a bottle.  Limited quantities available.","Come by and get a minimum 10% off on all orders. Orders over $500 will get you not only 20% off but Free Shipping as well! As well, come by for a free sample of our wound care spray.  It is like having a first aid kit in a bottle.  Limited quantities available.",,Chewmate,"Cat Products, Dog Products, Ships Internationally, Booth event - eg. cocktail hour, giveaways, demos, Exclusive show specials, New Product Launch","Cat Products, Dog Products, Ships Internationally, Booth event - eg. cocktail hour, giveaways, demos, Exclusive show specials, New Product Launch"
Chewmate Wound Care Spray,Chewmate Wound Care Spray,"Chewmate Antimicrobial Hypochlorous Wound & Skin Cleanser is a one-step, no rinse solution for immediate protection of lacerations, cuts, abrasions, burns, hot spots and skin irritations.

Spray and Walk Away","Chewmate Antimicrobial Hypochlorous Wound & Skin Cleanser is a one-step, no rinse solution for immediate protection of lacerations, cuts, abrasions, burns, hot spots and skin irritations.

Spray and Walk Away",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/1265/2dacb2a36070c2316d2ee6348776c8fe-original-wound-care.jpg,Chewmate,New Product Showcase - Dog,New Product Showcase - Dog
Plus Treatbrush Toy for Cats,Plus Treatbrush Toy for Cats,"Insert your cat’s favorite treat, & turn any treat into a toothbrush.  Works great with Catnip.  Our unique mylar cross stitch gently scrapes the plaque/tartar off the teeth, and the course sponge interior grabs the debris and keeps it away from the gums.","Insert your cat’s favorite treat, & turn any treat into a toothbrush.  Works great with Catnip.  Our unique mylar cross stitch gently scrapes the plaque/tartar off the teeth, and the course sponge interior grabs the debris and keeps it away from the gums.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/1264/4e4f914cf1265b56ab54c04654ee2a3a-original-img_8898.jpeg,Chewmate,New Product Showcase - Cat,New Product Showcase - Cat
Chewmate,Chewmate,"Chewmate Dual Action Treatbrush Toothbrush is 2-in-1 oral care: one side has our patented Floss Slots for self-brushing to clean the dog's teeth, gums & tongue; the other is a manual toothbrush for a personal touch.","Chewmate Dual Action Treatbrush Toothbrush is 2-in-1 oral care: one side has our patented Floss Slots for self-brushing to clean the dog's teeth, gums & tongue; the other is a manual toothbrush for a personal touch.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/1262/16ecb42566d328c068c1695e73366061-original-dual-action-cad-jpg.jpg,Chewmate,New Product Showcase - Dog,New Product Showcase - Dog
Chocolate Detox for Dogs,Chocolate Detox for Dogs,The world’s first product for dog chocolate ingestion. Theobromine neutralizing supplement compacted with beef liver palliative. Designed to be given at home immediately upon chocolate ingestion. Patented technology. Produced in the USA.,The world’s first product for dog chocolate ingestion. Theobromine neutralizing supplement compacted with beef liver palliative. Designed to be given at home immediately upon chocolate ingestion. Patented technology. Produced in the USA.,,Chocolate Detox for Dogs,Dog Food & Treats,Dog Food & Treats
Grass patch & Flowers 2.0,Grass patch & Flowers 2.0,"Our upgraded 2.0 chew toy is more than just a chew toy, it’s an aromatic spa for small pets. Add lavender, chamomile, and rose to help ease stress and calm anxiety naturally. 100% natural, safe, and edible.","Our upgraded 2.0 chew toy is more than just a chew toy, it’s an aromatic spa for small pets. Add lavender, chamomile, and rose to help ease stress and calm anxiety naturally. 100% natural, safe, and edible.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/500/61e49ef8c0644329e361c0ac92c0c511-original-d034f556a5288438b3993fb550cd865.jpg,"Chongqing Pet Union Biologicial Technology Co., Ltd.",New Product Showcase - Small Animal,New Product Showcase - Small Animal
Loofah & Silvervine Cat toy,Loofah & Silvervine Cat toy,"Made with natural loofah and silvervine, these eco-friendly toys are perfect for chewing, scratching, and keeping cats mentally and physically stimulated in a safe, natural way.","Made with natural loofah and silvervine, these eco-friendly toys are perfect for chewing, scratching, and keeping cats mentally and physically stimulated in a safe, natural way.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/499/815f26b69e5f3317419f33b151527783-original-17502958013441.jpg,"Chongqing Pet Union Biologicial Technology Co., Ltd.",New Product Showcase - Cat,New Product Showcase - Cat
