NAME_EN,NAME_KR,DESCRIPTION_EN,DESCRIPTION_KR,KEYWORDS_EN,KEYWORDS_KR,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_EN,INDUSTRY_NAME_KR
"Able (Tianjin) Int'l Trade Co., Ltd.","Able (Tianjin) Int'l Trade Co., Ltd.","Able (Tianjin) Int'l Trade Co., Ltd. introduces next-generation functionality for active lifestyles.","Able (Tianjin) Int'l Trade Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Able (Tianjin) Int'l Trade Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
LYGER,LYGER,LYGER is designed to highlight performance and modern sports trends.,LYGER 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/media/158/1/F_1124_6/F_1124_6_1_N_ELM_13532_1_1.jpg,Abnashi Sports,Sports / Outdoor,스포츠 / 아웃도어
Accessory Arcade,Accessory Arcade,Accessory Arcade presents advanced outdoor sports solutions.,Accessory Arcade 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Accessory Arcade,Sports / Outdoor,스포츠 / 아웃도어
munkees,munkees,munkees introduces next-generation functionality for active lifestyles.,munkees 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,AceCamp GmbH,Sports / Outdoor,스포츠 / 아웃도어
"Acemate Robot (Shenzhen) Co., Ltd.","Acemate Robot (Shenzhen) Co., Ltd.","Acemate Robot (Shenzhen) Co., Ltd. offers innovation aligned with ISPO Munich 2025.","Acemate Robot (Shenzhen) Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Acemate Robot (Shenzhen) Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Achievetex Co., Ltd.","Achievetex Co., Ltd.","Achievetex Co., Ltd. provides high-value sports technology for global buyers.","Achievetex Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Achievetex Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
ACM Products - Pure 2 Improve | XQmax,ACM Products - Pure 2 Improve | XQmax,ACM Products - Pure 2 Improve | XQmax introduces next-generation functionality for active lifestyles.,ACM Products - Pure 2 Improve | XQmax 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,ACM Products - Pure 2 Improve | XQmax,Sports / Outdoor,스포츠 / 아웃도어
ACT Head Impact Tracker,ACT Head Impact Tracker,ACT Head Impact Tracker introduces next-generation functionality for active lifestyles.,ACT Head Impact Tracker 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,ACT Head Impact Tracker - Northern Sports Insight and Intelligence,Sports / Outdoor,스포츠 / 아웃도어
Hotdevil,Hotdevil,Hotdevil introduces next-generation functionality for active lifestyles.,Hotdevil 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Aerosol Gas Company Inc.,Sports / Outdoor,스포츠 / 아웃도어
AETREX,AETREX,AETREX introduces next-generation functionality for active lifestyles.,AETREX 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,AETREX,Sports / Outdoor,스포츠 / 아웃도어
A. Fiúza & Irmao,A. Fiúza & Irmao,A. Fiúza & Irmao is designed to highlight performance and modern sports trends.,A. Fiúza & Irmao 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,A. Fiúza & Irmao,Sports / Outdoor,스포츠 / 아웃도어
AGI Group USA Inc.,AGI Group USA Inc.,AGI Group USA Inc. presents advanced outdoor sports solutions.,AGI Group USA Inc. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,AGI Group USA Inc.,Sports / Outdoor,스포츠 / 아웃도어
"Aim Intensive Textiles Ind., Corp.","Aim Intensive Textiles Ind., Corp.","Aim Intensive Textiles Ind., Corp. presents advanced outdoor sports solutions.","Aim Intensive Textiles Ind., Corp. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Aim Intensive Textiles Ind., Corp.",Sports / Outdoor,스포츠 / 아웃도어
Airgoal Sports,Airgoal Sports,Airgoal Sports offers innovation aligned with ISPO Munich 2025.,Airgoal Sports 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Airgoal Sports,Sports / Outdoor,스포츠 / 아웃도어
"Aitec Co., Ltd.","Aitec Co., Ltd.","Aitec Co., Ltd. is designed to highlight performance and modern sports trends.","Aitec Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Aitec Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Akta,Akta,Akta offers innovation aligned with ISPO Munich 2025.,Akta 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Akta,Sports / Outdoor,스포츠 / 아웃도어
ALAAY,ALAAY,ALAAY introduces next-generation functionality for active lifestyles.,ALAAY 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Alaay Industries,Sports / Outdoor,스포츠 / 아웃도어
ELLOKS,ELLOKS,ELLOKS introduces next-generation functionality for active lifestyles.,ELLOKS 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Alagöz Deri Tekstilsan Tic Ltd Şti,Sports / Outdoor,스포츠 / 아웃도어
Alary®,Alary®,Alary® introduces next-generation functionality for active lifestyles.,Alary® 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Alary AS,Sports / Outdoor,스포츠 / 아웃도어
Champs,Champs,Champs presents advanced outdoor sports solutions.,Champs 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Alberta Sports (Pvt.) Ltd.,Sports / Outdoor,스포츠 / 아웃도어
ALFA,ALFA,ALFA is designed to highlight performance and modern sports trends.,ALFA 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,ALFA HOCKEY - Sukhdev Impex Pvt. Ltd.,Sports / Outdoor,스포츠 / 아웃도어
Allied Feather & Down,Allied Feather & Down,Allied Feather & Down presents advanced outdoor sports solutions.,Allied Feather & Down 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Allied Feather & Down,Sports / Outdoor,스포츠 / 아웃도어
allPadel,allPadel,allPadel is designed to highlight performance and modern sports trends.,allPadel 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,allPadel,Sports / Outdoor,스포츠 / 아웃도어
ALLROUNDER,ALLROUNDER,ALLROUNDER is designed to highlight performance and modern sports trends.,ALLROUNDER 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/media/158/1/F_1124_6/F_1124_6_1_N_ELM_13370_1_1.jpg,ALLROUNDER,Sports / Outdoor,스포츠 / 아웃도어
All Star Sports,All Star Sports,All Star Sports presents advanced outdoor sports solutions.,All Star Sports 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,All Star Sports,Sports / Outdoor,스포츠 / 아웃도어
Alpha-XF,Alpha-XF,Alpha-XF provides high-value sports technology for global buyers.,Alpha-XF 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Alpha-XF,Sports / Outdoor,스포츠 / 아웃도어
ALPINA,ALPINA,ALPINA provides high-value sports technology for global buyers.,ALPINA 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Alpina, d.o.o.",Sports / Outdoor,스포츠 / 아웃도어
Anymaka,Anymaka,Anymaka provides high-value sports technology for global buyers.,Anymaka 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,AlpineWorks Swiss,Sports / Outdoor,스포츠 / 아웃도어
"ALUKE Fitness Equipment Co., Ltd.","ALUKE Fitness Equipment Co., Ltd.","ALUKE Fitness Equipment Co., Ltd. introduces next-generation functionality for active lifestyles.","ALUKE Fitness Equipment Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"ALUKE Fitness Equipment Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Amarnath Mahajan & Sons,Amarnath Mahajan & Sons,Amarnath Mahajan & Sons is designed to highlight performance and modern sports trends.,Amarnath Mahajan & Sons 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Amarnath Mahajan & Sons,Sports / Outdoor,스포츠 / 아웃도어
Amazing Industries,Amazing Industries,Amazing Industries is designed to highlight performance and modern sports trends.,Amazing Industries 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Amazing Industries,Sports / Outdoor,스포츠 / 아웃도어
EXCALIBUR BOXING,EXCALIBUR BOXING,EXCALIBUR BOXING introduces next-generation functionality for active lifestyles.,EXCALIBUR BOXING 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,AMK Sports,Sports / Outdoor,스포츠 / 아웃도어
"Amples Int'l Co., Ltd.","Amples Int'l Co., Ltd.","Amples Int'l Co., Ltd. provides high-value sports technology for global buyers.","Amples Int'l Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Amples Int'l Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Amwerk,Amwerk,Amwerk is designed to highlight performance and modern sports trends.,Amwerk 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Amwerk Produktions GmbH & Co. KG,Sports / Outdoor,스포츠 / 아웃도어
Anandco Sporting Corp.,Anandco Sporting Corp.,Anandco Sporting Corp. presents advanced outdoor sports solutions.,Anandco Sporting Corp. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Anandco Sporting Corp.,Sports / Outdoor,스포츠 / 아웃도어
AnceFlex®,AnceFlex®,AnceFlex® introduces next-generation functionality for active lifestyles.,AnceFlex® 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,ANCEFLEX®,Sports / Outdoor,스포츠 / 아웃도어
ANCORE-CHIOU,ANCORE-CHIOU,ANCORE-CHIOU presents advanced outdoor sports solutions.,ANCORE-CHIOU 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Ancore-Chiou Ent. Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Andora Sports,Andora Sports,Andora Sports is designed to highlight performance and modern sports trends.,Andora Sports 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Andora Sports,Sports / Outdoor,스포츠 / 아웃도어
"Angel Lime Plastic Co., Ltd.","Angel Lime Plastic Co., Ltd.","Angel Lime Plastic Co., Ltd. provides high-value sports technology for global buyers.","Angel Lime Plastic Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Angel Lime Plastic Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Anh Toan Viet Nam Co. Ltd.,Anh Toan Viet Nam Co. Ltd.,Anh Toan Viet Nam Co. Ltd. presents advanced outdoor sports solutions.,Anh Toan Viet Nam Co. Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Anh Toan Viet Nam Co. Ltd.,Sports / Outdoor,스포츠 / 아웃도어
ANHUI ANLI,ANHUI ANLI,ANHUI ANLI presents advanced outdoor sports solutions.,ANHUI ANLI 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Anhui Anli Material Technology Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Anhui Freya Feather Co., Ltd.","Anhui Freya Feather Co., Ltd.","Anhui Freya Feather Co., Ltd. is designed to highlight performance and modern sports trends.","Anhui Freya Feather Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Anhui Freya Feather Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Anhui Garments Imp. & Exp. Co., Ltd.","Anhui Garments Imp. & Exp. Co., Ltd.","Anhui Garments Imp. & Exp. Co., Ltd. is designed to highlight performance and modern sports trends.","Anhui Garments Imp. & Exp. Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Anhui Garments Imp. & Exp. Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Anhui Tomis Materials Co., Ltd.","Anhui Tomis Materials Co., Ltd.","Anhui Tomis Materials Co., Ltd. is designed to highlight performance and modern sports trends.","Anhui Tomis Materials Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Anhui Tomis Materials Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Anmco Buckle Corp. Ltd.,Anmco Buckle Corp. Ltd.,Anmco Buckle Corp. Ltd. provides high-value sports technology for global buyers.,Anmco Buckle Corp. Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Anmco Buckle Corp. Ltd.,Sports / Outdoor,스포츠 / 아웃도어
Newblood,Newblood,Newblood presents advanced outdoor sports solutions.,Newblood 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Anqing Yongda Sports & Leisure Ltd.,Sports / Outdoor,스포츠 / 아웃도어
Anti Ordinary Pty. Ltd.,Anti Ordinary Pty. Ltd.,Anti Ordinary Pty. Ltd. presents advanced outdoor sports solutions.,Anti Ordinary Pty. Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Anti Ordinary Pty. Ltd.,Sports / Outdoor,스포츠 / 아웃도어
AJ SPORTZ,AJ SPORTZ,AJ SPORTZ introduces next-generation functionality for active lifestyles.,AJ SPORTZ 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Ao Jie Plastic Toys Factory Ltd.,Sports / Outdoor,스포츠 / 아웃도어
A-One Gloves Supply Co.,A-One Gloves Supply Co.,A-One Gloves Supply Co. provides high-value sports technology for global buyers.,A-One Gloves Supply Co. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,A-One Gloves Supply Co.,Sports / Outdoor,스포츠 / 아웃도어
"AOTI Sports Co., Ltd.","AOTI Sports Co., Ltd.","AOTI Sports Co., Ltd. provides high-value sports technology for global buyers.","AOTI Sports Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"AOTI Sports Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
aparso,aparso,aparso introduces next-generation functionality for active lifestyles.,aparso 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/media/158/1/F_1124_6/F_1124_6_7_N_ELM_3001_7_1.jpg,"Aparso (Fuzhou) Sportswear Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Apex.,Apex.,Apex. presents advanced outdoor sports solutions.,Apex. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/media/158/1/F_1124_6/F_1124_6_1_N_ELM_17387_1_1.jpg,Apex Garment Manufacturing,Sports / Outdoor,스포츠 / 아웃도어
Apparel-Tech U.K. Ltd.,Apparel-Tech U.K. Ltd.,Apparel-Tech U.K. Ltd. is designed to highlight performance and modern sports trends.,Apparel-Tech U.K. Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Apparel-Tech U.K. Ltd.,Sports / Outdoor,스포츠 / 아웃도어
AQF ENTERPRISES,AQF ENTERPRISES,AQF ENTERPRISES provides high-value sports technology for global buyers.,AQF ENTERPRISES 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,AQF Enterprises,Sports / Outdoor,스포츠 / 아웃도어
Aqua Speed,Aqua Speed,Aqua Speed introduces next-generation functionality for active lifestyles.,Aqua Speed 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/media/158/1/F_1124_6/F_1124_6_2_N_ELM_15598_2_1.jpg,Aqua Speed - P.P.H.U. SPORTEX Grzegorz Bielecki,Sports / Outdoor,스포츠 / 아웃도어
ARB,ARB,ARB presents advanced outdoor sports solutions.,ARB 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,ARB Worldwide Malaysia,Sports / Outdoor,스포츠 / 아웃도어
Ardent Sports,Ardent Sports,Ardent Sports presents advanced outdoor sports solutions.,Ardent Sports 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Ardent Sports,Sports / Outdoor,스포츠 / 아웃도어
Arfaso Industry,Arfaso Industry,Arfaso Industry provides high-value sports technology for global buyers.,Arfaso Industry 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Arfaso Industry,Sports / Outdoor,스포츠 / 아웃도어
Pebax,Pebax,Pebax provides high-value sports technology for global buyers.,Pebax 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/media/158/1/F_1124_6/F_1124_6_1_N_ELM_12173_1_1.jpg,Arkema,Sports / Outdoor,스포츠 / 아웃도어
ARMATECHS,ARMATECHS,ARMATECHS introduces next-generation functionality for active lifestyles.,ARMATECHS 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Armatechs Baski Teknolojileri Tekstil San. Ve Tic. Ltd. Şti,Sports / Outdoor,스포츠 / 아웃도어
ARTSAN,ARTSAN,ARTSAN is designed to highlight performance and modern sports trends.,ARTSAN 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Artsan Tekstil Transfer Kagitlari San. Ve Tic. A.S,Sports / Outdoor,스포츠 / 아웃도어
ARYS,ARYS,ARYS is designed to highlight performance and modern sports trends.,ARYS 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,ARYS,Sports / Outdoor,스포츠 / 아웃도어
ROICA™︎,ROICA™︎,ROICA™︎ introduces next-generation functionality for active lifestyles.,ROICA™︎ 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Asahi Kasei Corp.,Sports / Outdoor,스포츠 / 아웃도어
Performance Division,Performance Division,Performance Division presents advanced outdoor sports solutions.,Performance Division 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"A. Sampaio & Filhos - Têxteis, S.A.",Sports / Outdoor,스포츠 / 아웃도어
Eclipse,Eclipse,Eclipse introduces next-generation functionality for active lifestyles.,Eclipse 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,ASF Group,Sports / Outdoor,스포츠 / 아웃도어
ASIAPRO (Amzpro Ltd.),ASIAPRO (Amzpro Ltd.),ASIAPRO (Amzpro Ltd.) offers innovation aligned with ISPO Munich 2025.,ASIAPRO (Amzpro Ltd.) 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,ASIAPRO (Amzpro Ltd.),Sports / Outdoor,스포츠 / 아웃도어
Astraia Digital Ltd.,Astraia Digital Ltd.,Astraia Digital Ltd. offers innovation aligned with ISPO Munich 2025.,Astraia Digital Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Astraia Digital Ltd.,Sports / Outdoor,스포츠 / 아웃도어
Atflee,Atflee,Atflee presents advanced outdoor sports solutions.,Atflee 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Atflee,Sports / Outdoor,스포츠 / 아웃도어
AthletAI,AthletAI,AthletAI provides high-value sports technology for global buyers.,AthletAI 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,AthletAI,Sports / Outdoor,스포츠 / 아웃도어
